empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address
15,8,7e709245031d51963a79004362950401,37.8312752,-122.2856333,Emeryville Town Hall,2023-08-22T02:33:57.069000Z,0,True,1692671558,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,47f5b0d6-a2db-482c-9680-10759094c4a4,
8,14,ad0fd1e1100453a35d7ce5e5d95e4779,37.7552126,-122.4209752,Valencia St at 22nd St,2023-08-22T02:33:57.045000Z,9,True,1692671481,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,22,759c388e-ab9b-40c2-ae96-ee5190264916,
8,11,d54612ee1577923ef1aef60393aa07c7,37.7518194,-122.4266139,24th St at Chattanooga St,2023-08-22T02:33:57.375000Z,4,True,1692671563,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,2ed84bed-e42a-4f0d-a059-78a709748616,
10,12,689893116ddb1b8dfab61c092330b00a,37.7524278,-122.4206278,Valencia St at 24th St,2023-08-22T02:33:57.555000Z,6,True,1692671453,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,3437ead2-e5e0-4e1c-86cf-d925a96b2260,
5,13,96bae776dd2cf75e6ed06895761636af,37.7509004,-122.4274114,Jersey St at Church St,2023-08-22T02:33:57.257000Z,9,True,1692671520,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,673c88d0-961a-45ff-b394-ac9a33e58d55,
12,10,22e24861b62c61aa3c99d47cd90095ce,37.78729,-122.39438,1st St at Folsom St,2023-08-22T02:33:57.388000Z,8,True,1692671473,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,a40fc1eb-e8e9-4d41-8f77-71365f0d9064,
13,9,a536696bbab818af37342ac705d5b467,37.7913,-122.399051,Mechanics Monument Plaza (Market St at Bush St),2023-08-22T02:33:57.508000Z,0,True,1692671481,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,cf56994c-cdd6-4586-9f56-eea2f51e81ae,
17,10,cbe0501b53945e1a590ff4484798e0e6,37.782404601934104,-122.43944585323335,O'Farrell St at Divisadero St,2023-08-22T02:33:57.288000Z,2,True,1692671475,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,3144f47a-86f7-40f6-9ff0-5c8120babf6a,
3,12,6d5e221de84a938a2a813425ddddcf2d,37.31515792998312,-121.89783275127412,Bird Ave at Coe Ave,2023-08-22T02:33:57.097000Z,0,True,1692671478,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,b09fd293-4364-4ce6-9341-0ced58486c5a,
15,12,679621279b937eda9558ca1ae02f748e,37.316736478493425,-121.91000461578369,Parkmoor Ave at Race St,2023-08-22T02:33:57.098000Z,2,True,1692671540,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,2c00d99d-7518-4ecd-ab53-63e7a34034f6,
